law,query,expected_articles,returned_article,match,snippet,f1,human_verdict,action,future_effective,new_expected
부가가치세법,세금계산서 발급 의무 부가가치세법,제32조 / 제34조,제60조,,"산서에 적힌 공급가액의 4퍼센트를 그 세금계산서를 발급하거나 발급받은 자에게 납세지 관할 세무서장이 가산세로 징수한다. 이 경우 제37조제2항에 따른 납부세액은 0으로 본다.<개정 2016. 12. 20., 2017",0.667,X,무관,False,제32조 / 제33조 / 제34조 / 제39조
부가가치세법,세금계산서 발급 의무 부가가치세법,제32조 / 제34조,제33조,,제33조(세금계산서 발급의무의 면제 등) ① 제32조에도 불구하고 세금계산서(전자세금계산서를 포함한다. 이하 같다 )를 발급하기 어렵거나 세금계산서의 발급이 불필요한 경우 등 대통령령으로 정하는 경우에는 세금계산서를,0.667,O,정답에 추가,False,제32조 / 제33조 / 제34조 / 제39조
부가가치세법,세금계산서 발급 의무 부가가치세법,제32조 / 제34조,제32조,정답,[제32조] ⑦ 세금계산서 또는 전자세금계산서의 기재사항을 착오로 잘못 적거나 세금계산서 또는 전자세금계산서를 발급한 후 그 기재사항에 관하여 대통령령으로 정하는 사유가 발생하면 대통령령으로 정하는 바에 따라 수정한,0.667,O,,False,제32조 / 제33조 / 제34조 / 제39조
부가가치세법,세금계산서 발급 의무 부가가치세법,제32조 / 제34조,,MISS,[미반환] 기대 조문: 제34조,0.667,,정답 유지,False,제32조 / 제33조 / 제34조 / 제39조
부가가치세법,간이과세자 공급대가 개인사업자 과세표준 부가가치세법,제61조 / 제63조,제70조,,[제70조] ④ 제3항에도 불구하고 제1항 및 제2항에 따라 신고한 개인사업자 중 직전 연도의 공급대가의 합계액이 4천8백만 원 이상 제61조제1항 각 호 외의 부분 본문에 따른 금액 미만인 개인사업자 등 대통령령으,0.500,O,정답에 추가,False,제61조 / 제63조 / 제70조
부가가치세법,간이과세자 공급대가 개인사업자 과세표준 부가가치세법,제61조 / 제63조,제61조,정답,"[제61조] <개정 2020. 12. 22.> 1. 간이과세가 적용되지 아니하는 다른 사업장을 보유하고 있는 사업자 부가가치세법 2. 업종, 규모, 지역 등을 고려하여 대통령령으로 정하는 사업자 3. 부동산임대업 또",0.500,O,,False,제61조 / 제63조 / 제70조
부가가치세법,간이과세자 공급대가 개인사업자 과세표준 부가가치세법,제61조 / 제63조,제48조,,"대통령령으로 정 하는 경우에는 신탁재산의 공급으로 보지 아니한다.<신설 2021. 12. 8.> ⑨ 다음 각 호의 어느 하나에 해당하는 것은 재화의 공급으로 보지 아니한다.<개정 2014. 1. 1., 2017. 1",0.500,X,무관,False,제61조 / 제63조 / 제70조
부가가치세법,간이과세자 공급대가 개인사업자 과세표준 부가가치세법,제61조 / 제63조,제60조,,"산서에 적힌 공급가액의 4퍼센트를 그 세금계산서를 발급하거나 발급받은 자에게 납세지 관할 세무서장이 가산세로 징수한다. 이 경우 제37조제2항에 따른 납부세액은 0으로 본다.<개정 2016. 12. 20., 2017",0.500,X,무관,False,제61조 / 제63조 / 제70조
부가가치세법,간이과세자 공급대가 개인사업자 과세표준 부가가치세법,제61조 / 제63조,제15조,,제15조 및 제16조에 따른 재화 또는 용역의 공급시 기에 대통령령으로 정하는 바에 따라 그 공급을 받은 자에게 세금계산서를 발급하는 대신 영수증을 발급하여야 한 부가가치세법 다. <개정 2020. 12. 22.>,0.500,X,무관,False,제61조 / 제63조 / 제70조
부가가치세법,간이과세자 공급대가 개인사업자 과세표준 부가가치세법,제61조 / 제63조,,MISS,[미반환] 기대 조문: 제63조,0.500,,정답 유지,False,제61조 / 제63조 / 제70조
개인정보보호법,개인정보 수집 이용 동의 목적 개인정보보호법,제15조 / 제16조,제26조,,제26조(업무위탁에 따른 개인정보의 처리 제한),0.750,X,무관,False,제15조 / 제16조 / 제23조
개인정보보호법,개인정보 수집 이용 동의 목적 개인정보보호법,제15조 / 제16조,제15조,정답,"[제15조] ③ 개인정보처리자는 당초 수집 목적과 합리적으로 관련된 범위에서 정보주체에게 불이익이 발생하는지 여부, 암호 화 등 안전성 확보에 필요한 조치를 하였는지 여부 등을 고려하여 대통령령으로 정하는 바에 따라",0.750,O,,False,제15조 / 제16조 / 제23조
개인정보보호법,개인정보 수집 이용 동의 목적 개인정보보호법,제15조 / 제16조,제28조의2,,[제28조의2] ③ 개인정보 처리방침의 내용과 개인정보처리자와 정보주체 간에 체결한 계약의 내용이 다른 경우에는 정보주체에 게 유리한 것을 적용한다. 개인정보 보호법,0.750,X,무관,False,제15조 / 제16조 / 제23조
개인정보보호법,개인정보 수집 이용 동의 목적 개인정보보호법,제15조 / 제16조,제23조,,3. 29.> 개인정보 보호법 ③ 개인정보처리자는 재화 또는 서비스를 제공하는 과정에서 공개되는 정보에 정보주체의 민감정보가 포함됨으로 써 사생활 침해의 위험성이 있다고 판단하는 때에는 재화 또는 서비스의 제공 전에,0.750,O,정답에 추가,False,제15조 / 제16조 / 제23조
개인정보보호법,개인정보 수집 이용 동의 목적 개인정보보호법,제15조 / 제16조,제16조,정답,제16조(개인정보의 수집 제한) ① 개인정보처리자는 제15조제1항 각 호의 어느 하나에 해당하여 개인정보를 수집하는 경우에는 그 목적에 필요한 최소한의 개인정보를 수집하여야 한다. 이 경우 최소한의 개인정보 수집이라,0.750,O,,False,제15조 / 제16조 / 제23조
개인정보보호법,CCTV 영상정보처리기기 설치 운영 개인정보보호법,제25조 / 제25조의2,제25조의2,정답,[제25조의2] ① 업무를 목적으로 이동형 영상정보처리기기를 운영하려는 자는 다음 각 호의 경우를 제외하고는 공개된 장소에서 이동형 영상정보처리기기로 사람 또는 그 사람과 관련된 사물의 영상(개인정보에 해당하는 경우,1.000,O,,False,제25조 / 제25조의2
개인정보보호법,CCTV 영상정보처리기기 설치 운영 개인정보보호법,제25조 / 제25조의2,제25조,정답,"[제25조] ⑦ 고정형영상정보처리기기운영자는 대통령령으로 정하는 바에 따라 고정형 영상정보처리기기 운영ㆍ관리 방침을 마련하여야 한다. 다만, 제30조에 따른 개인정보 처리방침을 정할 때 고정형 영상정보처리기기 운영ㆍ",1.000,O,,False,제25조 / 제25조의2
개인정보보호법,개인정보 처리방침 수립 공개 의무 개인정보보호법,제30조 / 제31조,제26조,,제26조(업무위탁에 따른 개인정보의 처리 제한),0.500,X,무관,False,제28조의2 / 제30조 / 제31조
개인정보보호법,개인정보 처리방침 수립 공개 의무 개인정보보호법,제30조 / 제31조,제28조의2,,[제28조의2] ③ 개인정보 처리방침의 내용과 개인정보처리자와 정보주체 간에 체결한 계약의 내용이 다른 경우에는 정보주체에 게 유리한 것을 적용한다. 개인정보 보호법,0.500,O,정답에 추가,False,제28조의2 / 제30조 / 제31조
개인정보보호법,개인정보 처리방침 수립 공개 의무 개인정보보호법,제30조 / 제31조,제5조,,법령 또는 조례를 적용할 때에는 정보주체의 권리가 보장될 수 있도록 개인정보 보호 원칙에 맞게 적용하여야 한다.<개정 2023. 3. 14.>,0.500,X,무관,False,제28조의2 / 제30조 / 제31조
개인정보보호법,개인정보 처리방침 수립 공개 의무 개인정보보호법,제30조 / 제31조,제29조,,"제29조(안전조치의무) 개인정보처리자는 개인정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 아니하도록 내부 관리계획 수립, 접속기록 보관 등 대통령령으로 정하는 바에 따라 안전성 확보에 필요한 기술적ㆍ관리적 및 물리",0.500,X,무관,False,제28조의2 / 제30조 / 제31조
개인정보보호법,개인정보 처리방침 수립 공개 의무 개인정보보호법,제30조 / 제31조,제30조,정답,제30조(개인정보 처리방침의 수립 및 공개) ① 개인정보처리자는 다음 각 호의 사항이 포함된 개인정보의 처리 방침(이 하 “개인정보 처리방침”이라 한다)을 정하여야 한다. 이 경우 공공기관은 제32조에 따라 등록대상,0.500,O,,False,제28조의2 / 제30조 / 제31조
개인정보보호법,개인정보 처리방침 수립 공개 의무 개인정보보호법,제30조 / 제31조,,MISS,[미반환] 기대 조문: 제31조,0.500,,정답 유지,False,제28조의2 / 제30조 / 제31조
장애인편의법,대상시설 편의시설 설치 공공건물 공중이용시설 장애인편의법,제7조 / 제8조,제3조,,제3조(편의시설 설치의 기본 원칙) 다음 각 호의 자(이하 “시설주등”이라 한다)는 장애인등이 공공건물 및 공중이용시설 을 이용할 때 가능하면 최대한 편리한 방법으로 최단거리로 이동할 수 있도록 편의시설을 설치하여야,0.889,O,정답에 추가,False,제16조 / 제17조 / 제3조 / 제7조 / 제8조
장애인편의법,대상시설 편의시설 설치 공공건물 공중이용시설 장애인편의법,제7조 / 제8조,제7조,정답,제7조(대상시설) 편의시설을 설치하여야 하는 대상(이하 “대상시설”이라 한다)은 다음 각 호의 어느 하나에 해당하는 것 으로서 대통령령으로 정하는 것을 말한다. 1. 공원 2. 공공건물 및 공중이용시설 3. 공동주택,0.889,O,,False,제16조 / 제17조 / 제3조 / 제7조 / 제8조
장애인편의법,대상시설 편의시설 설치 공공건물 공중이용시설 장애인편의법,제7조 / 제8조,제17조,,[제17조] ① 시설주등은 주차장 관계 법령과 제8조에 따른 편의시설의 설치기준에 따라 해당 대 상시설에 장애인전용주차구역을 설치하여야 한다.,0.889,O,정답에 추가,False,제16조 / 제17조 / 제3조 / 제7조 / 제8조
장애인편의법,대상시설 편의시설 설치 공공건물 공중이용시설 장애인편의법,제7조 / 제8조,제16조,,"제16조(시설이용상의 편의 제공) ① 장애인등이 많이 이용하는 공공건물 및 공중이용시설의 시설주는 휠체어, 점자(點 字) 안내책자, 보청기기 및 보청기기 보조장비, 장애인용 쇼핑카트, 전동보장구충전시설(전동휠체어 등",0.889,O,정답에 추가,False,제16조 / 제17조 / 제3조 / 제7조 / 제8조
장애인편의법,대상시설 편의시설 설치 공공건물 공중이용시설 장애인편의법,제7조 / 제8조,,MISS,[미반환] 기대 조문: 제8조,0.889,,정답 유지,False,제16조 / 제17조 / 제3조 / 제7조 / 제8조
장애인편의법,편의시설 설치기준 경사로 출입구 장애인편의법,제16조 / 제17조,제17조,정답,[제17조] ① 시설주등은 주차장 관계 법령과 제8조에 따른 편의시설의 설치기준에 따라 해당 대 상시설에 장애인전용주차구역을 설치하여야 한다.,0.889,O,,False,제10조의2 / 제16조 / 제17조 / 제3조 / 제9조의2
장애인편의법,편의시설 설치기준 경사로 출입구 장애인편의법,제16조 / 제17조,제3조,,제3조(편의시설 설치의 기본 원칙) 다음 각 호의 자(이하 “시설주등”이라 한다)는 장애인등이 공공건물 및 공중이용시설 을 이용할 때 가능하면 최대한 편리한 방법으로 최단거리로 이동할 수 있도록 편의시설을 설치하여야,0.889,O,정답에 추가,False,제10조의2 / 제16조 / 제17조 / 제3조 / 제9조의2
장애인편의법,편의시설 설치기준 경사로 출입구 장애인편의법,제16조 / 제17조,제10조의2,,"[제10조의2] ① 보건복지부장관과 국토교통부장관(이하 이 조, 제10조의5부터 제10조의9까 지에서 “보건복지부장관등”이라 한다)은 장애인등이 대상시설을 안전하고 편리하게 이용할 수 있도록 편의시설의 설치ㆍ운영을",0.889,O,정답에 추가,False,제10조의2 / 제16조 / 제17조 / 제3조 / 제9조의2
장애인편의법,편의시설 설치기준 경사로 출입구 장애인편의법,제16조 / 제17조,제9조의2,,제9조의2(편의시설 설치기준의 적합성 확인) ① 시설주관기관은 시설주등이 대상시설의 설치를 위하여 「건축법」 등 관 계 법령에 따른 허가나 처분(「건축법」 제29조에 따른 협의를 포함한다)을 신청하는 등 절차를 진행,0.889,O,정답에 추가,False,제10조의2 / 제16조 / 제17조 / 제3조 / 제9조의2
장애인편의법,편의시설 설치기준 경사로 출입구 장애인편의법,제16조 / 제17조,,MISS,[미반환] 기대 조문: 제16조,0.889,,정답 유지,False,제10조의2 / 제16조 / 제17조 / 제3조 / 제9조의2
하수도법,오수 배출 개인하수처리시설 설치 배수설비 하수도법,제34조 / 제37조,제40조,,제40조(개인하수처리시설에 대한 개선명령),0.800,O,정답에 추가,False,제2조 / 제34조 / 제35조 / 제37조 / 제38조 / 제40조
하수도법,오수 배출 개인하수처리시설 설치 배수설비 하수도법,제34조 / 제37조,제38조,,제38조(개인하수처리시설의 설계ㆍ시공),0.800,O,정답에 추가,False,제2조 / 제34조 / 제35조 / 제37조 / 제38조 / 제40조
하수도법,오수 배출 개인하수처리시설 설치 배수설비 하수도법,제34조 / 제37조,제2조,,방류하기 위하여 지방자치단체가 설치 또는 관리하는 처리시설과 이를 보완하는 시설을 말한다. 9의2. “간이공공하수처리시설”이란 강우(降雨)로 인하여 공공하수처리시설에 유입되는 하수가 일시적으로 늘어날 경우 하수를 신,0.800,O,정답에 추가,False,제2조 / 제34조 / 제35조 / 제37조 / 제38조 / 제40조
하수도법,오수 배출 개인하수처리시설 설치 배수설비 하수도법,제34조 / 제37조,제35조,,[제35조] ① 제33조제1항부터 제3항까지의 규정에 따라 허가ㆍ변경 허가를 받은 자 또는 신고ㆍ변경신고를 한 자(이하 “사업자”라 한다)가 해당 배출시설을 설치하거나 변경할 때에는 그 배출시설로부터 배출되는 수질오,0.800,O,정답에 추가,False,제2조 / 제34조 / 제35조 / 제37조 / 제38조 / 제40조
하수도법,오수 배출 개인하수처리시설 설치 배수설비 하수도법,제34조 / 제37조,,MISS,[미반환] 기대 조문: 제34조,0.800,,정답 유지,False,제2조 / 제34조 / 제35조 / 제37조 / 제38조 / 제40조
하수도법,오수 배출 개인하수처리시설 설치 배수설비 하수도법,제34조 / 제37조,,MISS,[미반환] 기대 조문: 제37조,0.800,,정답 유지,False,제2조 / 제34조 / 제35조 / 제37조 / 제38조 / 제40조
하수도법,공공하수도 배수구역 배수설비 유입 설치 하수도법,제27조 / 제28조,제2조,,하수도법 13. “개인하수처리시설”이라 함은 건물ㆍ시설 등에서 발생하는 오수를 침전ㆍ분해 등의 방법으로 처리하는 시설을 말한다. 14. “배수구역”이라 함은 공공하수도에 의하여 하수를 유출시킬 수 있는 지역으로서 제,0.889,O,정답에 추가,False,제11조 / 제19조 / 제27조 / 제28조 / 제2조
하수도법,공공하수도 배수구역 배수설비 유입 설치 하수도법,제27조 / 제28조,제11조,,[제11조] ①지방자치단체의 장은 하수도정비기본계획에 따라 공공하수도를 설치하여야 한다.,0.889,O,정답에 추가,False,제11조 / 제19조 / 제27조 / 제28조 / 제2조
하수도법,공공하수도 배수구역 배수설비 유입 설치 하수도법,제27조 / 제28조,제27조,정답,[제27조] ①공공하수도의 사용이 개시된 때에는 배수구역 안의 토지의 소유자ㆍ관리자(그 토지 위 에 시설물이 있는 경우에는 그 시설물의 소유자 또는 관리자를 말한다) 또는 국ㆍ공유시설물의 관리자는 그 배수구 역의 하,0.889,O,,False,제11조 / 제19조 / 제27조 / 제28조 / 제2조
하수도법,공공하수도 배수구역 배수설비 유입 설치 하수도법,제27조 / 제28조,제19조,,"[제19조] 이하 이 호에서 같다)에 유입시키지 아니하고 배출하거나 공공하수처 리시설에 유입시키지 아니하고 배출할 수 있는 시설을 설치하는 행위 3. 공공하수처리시설, 간이공공하수처리시설 또는 분뇨처리시설에 유입된",0.889,O,정답에 추가,False,제11조 / 제19조 / 제27조 / 제28조 / 제2조
하수도법,공공하수도 배수구역 배수설비 유입 설치 하수도법,제27조 / 제28조,,MISS,[미반환] 기대 조문: 제28조,0.889,,정답 유지,False,제11조 / 제19조 / 제27조 / 제28조 / 제2조
공정거래법,불공정거래행위 금지 거래강제 공정거래법,제45조 / 제40조,제38조,,제38조(과징금) ① 공정거래위원회는,0.250,X,무관,False,제40조 / 제45조 / 제51조
공정거래법,불공정거래행위 금지 거래강제 공정거래법,제45조 / 제40조,제125조,,"은닉ㆍ폐기, 접근 거부 또는 위조ㆍ변조 등을 통하여 조사를 거부ㆍ방해 또 는 기피한 자 독점규제 및 공정거래에 관한 법률",0.250,X,무관,False,제40조 / 제45조 / 제51조
공정거래법,불공정거래행위 금지 거래강제 공정거래법,제45조 / 제40조,제89조,,[제89조] ① 공정거래위원회의 조사나 심의를 받고 있는 사업자 또는 사업자단체(이하 이 조부터 제91조까지 의 규정에서 “신청인”이라 한다)는 해당 조사나 심의의 대상이 되는 행위(이하 이 조부터 제91조까지의 규,0.250,X,무관,False,제40조 / 제45조 / 제51조
공정거래법,불공정거래행위 금지 거래강제 공정거래법,제45조 / 제40조,제51조,,제51조(사업자단체의 금지행위) ① 사업자단체는 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니 된다. 1. 제40조제1항 각 호의 행위로 부당하게 경쟁을 제한하는 행위 2. 일정한 거래분야에서 현재 또는,0.250,O,정답에 추가,False,제40조 / 제45조 / 제51조
공정거래법,불공정거래행위 금지 거래강제 공정거래법,제45조 / 제40조,제120조의3,,[제120조의3] ① 공정거래위원회는 공정거래 관련 분야에 대하여 전문성이 있는 기관 또는 단체를 대통령령으로 정하는 바에 따라 공정거래 자율준수평가기관(이하 “평가기관”이라 한다)으로 지정하여 공정거 래 자율준수평,0.250,X,무관,False,제40조 / 제45조 / 제51조
공정거래법,불공정거래행위 금지 거래강제 공정거래법,제45조 / 제40조,,MISS,[미반환] 기대 조문: 제40조,0.250,,정답 유지,False,제40조 / 제45조 / 제51조
공정거래법,불공정거래행위 금지 거래강제 공정거래법,제45조 / 제40조,,MISS,[미반환] 기대 조문: 제45조,0.250,,정답 유지,False,제40조 / 제45조 / 제51조
가맹사업법,허위 과장 정보제공 예상매출액 가맹사업법,제9조,제9조,정답,[제9조] ① 가맹본부는 가맹희망자나 가맹점사업자에게 정보를 제공함에 있어서 다음 각 호의 행위를 하여서는 아니 된다. <개정 2013. 8. 13.> 가맹사업거래의 공정화에 관한 법률 1. 사실과 다르게 정보를 제,0.500,O,,False,제9조
가맹사업법,허위 과장 정보제공 예상매출액 가맹사업법,제9조,제8조,,제8조(허위ㆍ과장의 정보제공행위 등의 유형) ① 법 제9조제1항제1호에 따른 허위ㆍ과장의 정보제공행위의 유형은 다 음 각 호와 같다. 1. 객관적인 근거 없이 가맹희망자의 예상수익상황을 과장하여 제공하거나 사실과 다,0.500,X,무관,False,제9조
가맹사업법,허위 과장 정보제공 예상매출액 가맹사업법,제9조,제34조,,[제34조] ① 법 제35조제1항 본문에서 “대통령령으로 정하는 매출액”이란 해당 가맹본부가 위반 기간(위반행위의 개시일부터 종료일까지의 기간을 말한다. 이하 이 조에서 같다) 동안 관련 가맹점사업자 또는 가맹 희망,0.500,X,무관,False,제9조
상가임대차보호법,계약갱신요구권 임대차 기간 상가건물,제10조 / 제10조의2 / 제9조,제10조의9,,"제10조의9(계약 갱신요구 등에 관한 임시 특례) 임차인이 이 법(법률 제17490호 상가건물 임대차보호법 일부개정법률 을 말한다) 시행일부터 6개월까지의 기간 동안 연체한 차임액은 제10조제1항제1호, 제10조의4",0.500,X,무관,False,제10조 / 제10조의2 / 제9조
상가임대차보호법,계약갱신요구권 임대차 기간 상가건물,제10조 / 제10조의2 / 제9조,제10조의2,정답,"제10조의2(계약갱신의 특례) 제2조제1항 단서에 따른 보증금액을 초과하는 임대차의 계약갱신의 경우에는 당사자는 상가건물에 관한 조세, 공과금, 주변 상가건물의 차임 및 보증금, 그 밖의 부담이나 경제사정의 변동 등",0.500,O,,False,제10조 / 제10조의2 / 제9조
상가임대차보호법,계약갱신요구권 임대차 기간 상가건물,제10조 / 제10조의2 / 제9조,제11조,,[제11조] ② 제1항에 따른 증액 청구는 임대차계약 또는 약정한 차임 등의 증액이 있은 후 1년 이내에는 하지 못한다. 상가건물 임대차보호법,0.500,X,무관,False,제10조 / 제10조의2 / 제9조
상가임대차보호법,계약갱신요구권 임대차 기간 상가건물,제10조 / 제10조의2 / 제9조,제14조의2,,"[제14조의2] ④ 위원회의 위원은 다음 각 호의 어느 하나에 해당하는 사람 중에서 위원장이 임명하거나 위촉하되, 제1호부터 제 6호까지에 해당하는 위원을 각각 1명 이상 임명하거나 위촉하여야 하고, 위원 중 2분의",0.500,X,무관,False,제10조 / 제10조의2 / 제9조
상가임대차보호법,계약갱신요구권 임대차 기간 상가건물,제10조 / 제10조의2 / 제9조,제10조,정답,[제10조] ② 임차인의 계약갱신요구권은 최초의 임대차기간을 포함한 전체 임대차기간이 10년을 초과하지 아니하는 범위에 서만 행사할 수 있다.<개정 2018. 10. 16.>,0.500,O,,False,제10조 / 제10조의2 / 제9조
상가임대차보호법,계약갱신요구권 임대차 기간 상가건물,제10조 / 제10조의2 / 제9조,,MISS,[미반환] 기대 조문: 제9조,0.500,,정답 유지,False,제10조 / 제10조의2 / 제9조
소방시설법,소방안전관리자 선임 의무 소방시설법,제24조 / 제25조,제12조,,제12조(특정소방대상물에 설치하는 소방시설의 관리 등),0.000,X,무관,False,제24조 / 제25조
소방시설법,소방안전관리자 선임 의무 소방시설법,제24조 / 제25조,제20조,,제20조(특정소방대상물의 방염 등) ① 대통령령으로 정하는 특정소방대상물에 실내장식 등의 목적으로 설치 또는 부착 하는 물품으로서 대통령령으로 정하는 물품(이하 “방염대상물품”이라 한다)은 방염성능기준 이상의 것으로,0.000,X,무관,False,제24조 / 제25조
소방시설법,소방안전관리자 선임 의무 소방시설법,제24조 / 제25조,,MISS,[미반환] 기대 조문: 제24조,0.000,,정답 유지,False,제24조 / 제25조
소방시설법,소방안전관리자 선임 의무 소방시설법,제24조 / 제25조,,MISS,[미반환] 기대 조문: 제25조,0.000,,정답 유지,False,제24조 / 제25조
가맹사업법,가맹본부 필수품목 구입강제 가맹사업법,제12조,제12조,정답,배상 의무를 부담시키는 행위 가맹사업거래의 공정화에 관한 법률 6. 제1호부터 제3호까지 및 제5호 외의 행위로서 부당하게 경쟁가맹본부의 가맹점사업자를 자기와 거래하도록 유 인하는 행위 등 가맹사업의 공정한 거래를,0.400,O,,False,제12조
가맹사업법,가맹본부 필수품목 구입강제 가맹사업법,제12조,제11조,,[제11조] 10. 가맹희망자가 정보공개서에 대하여 변호사 또는 제27조에 따른 가맹거래사의 자문을 받은 경우 이에 관한 사항 11. 가맹본부 또는 가맹본부 임원의 위법행위 또는 가맹사업의 명성이나 신용을 훼손하는,0.400,X,무관,False,제12조
가맹사업법,가맹본부 필수품목 구입강제 가맹사업법,제12조,제37조의2,,[제37조의2] ④ 제1항 또는 제2항에 따라 손해배상청구의 소가 제기된 경우 「독점규제 및 공정거래에 관한 법률」,0.400,X,무관,False,제12조
가맹사업법,가맹본부 필수품목 구입강제 가맹사업법,제12조,제13조,,제13조(불공정거래행위의 유형 또는 기준) ①법 제12조제2항의 규정에 의한 불공정거래행위의 유형 또는 기준은 별표 2와 같다. ②공정거래위원회는 필요하다고 인정하는 경우에 별표 2의 유형 또는 기준의 범위내에서 특,0.400,X,무관,False,제12조
